"ROWNUM","name","adress","okrug","rayon","form_of_incorporation","submission","tip_uchrezhdeniya","vid_uchrezhdeniya","telephone","web_site","e_mail","X","Y","global_id"
"152","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Колледж градостроительства и сервиса № 38"","117321, г. Москва, ул. Профсоюзная, д. 154, корпус 7","Юго-Западный административный округ","район Тёплый Стан","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 713-17-52",,"38@prof.educom.ru","37,499007","55,623955","87028805"
"153","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Колледж градостроительства и сервиса № 38"","117321, г. Москва, ул. Профсоюзная, д. 154, корпус 7","Юго-Западный административный округ","район Тёплый Стан","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 713-17-52",,"38@prof.educom.ru","37,572753","55,679967","87028806"
"154","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Колледж градостроительства и сервиса № 38"","117321, г. Москва, ул. Профсоюзная, д. 154, корпус 7","Юго-Западный административный округ","район Тёплый Стан","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 713-17-52",,"38@prof.educom.ru","37,601145","55,652315","87028807"
"155","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Колледж градостроительства и сервиса № 38"","117321, г. Москва, ул. Профсоюзная, д. 154, корпус 7","Юго-Западный административный округ","район Тёплый Стан","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 713-17-52",,"38@prof.educom.ru","37,601861","55,652482","87028808"
"156","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Колледж градостроительства и сервиса № 38"","117321, г. Москва, ул. Профсоюзная, д. 154, корпус 7","Юго-Западный административный округ","район Тёплый Стан","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 713-17-52",,"38@prof.educom.ru","37,574343","55,575474","87028809"
"157","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Колледж градостроительства и сервиса № 38"","117321, г. Москва, ул. Профсоюзная, д. 154, корпус 7","Юго-Западный административный округ","район Тёплый Стан","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 713-17-52",,"38@prof.educom.ru","37,582513","55,560383","87028810"
"158","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 39","117036, город Москва, улица  Дмитрия Ульянова, дом 26","Юго-Западный административный округ","Академический район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 127-69-95; (499) 127-10-03; (499) 176-10-70; (499) 127-12-70; (499) 127-33-95; (499) 123-63-91; (499) 127-11-12",,"39@prof.educom.ru","37,576868","55,685215","87028811"
"159","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 39","117036, город Москва, улица  Дмитрия Ульянова, дом 26","Юго-Западный административный округ","Академический район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 127-69-95; (499) 127-10-03; (499) 176-10-70; (499) 127-12-70; (499) 127-33-95; (499) 123-63-91; (499) 127-11-12",,"39@prof.educom.ru","37,517757","55,680941","87028812"
"160","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 39","117036, город Москва, улица  Дмитрия Ульянова, дом 26","Юго-Западный административный округ","Академический район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 127-69-95; (499) 127-10-03; (499) 176-10-70; (499) 127-12-70; (499) 127-33-95; (499) 123-63-91; (499) 127-11-12",,"39@prof.educom.ru","37,602128","55,684728","87028813"
"161","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 39","117036, город Москва, улица  Дмитрия Ульянова, дом 26","Юго-Западный административный округ","Академический район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 127-69-95; (499) 127-10-03; (499) 176-10-70; (499) 127-12-70; (499) 127-33-95; (499) 123-63-91; (499) 127-11-12",,"39@prof.educom.ru","37,587145","55,683534","87028814"
"162","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 39","117036, город Москва, улица  Дмитрия Ульянова, дом 26","Юго-Западный административный округ","Академический район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 127-69-95; (499) 127-10-03; (499) 176-10-70; (499) 127-12-70; (499) 127-33-95; (499) 123-63-91; (499) 127-11-12",,"39@prof.educom.ru","37,592863","55,683766","87028815"
"163","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 39","117036, город Москва, улица  Дмитрия Ульянова, дом 26","Юго-Западный административный округ","Академический район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 127-69-95; (499) 127-10-03; (499) 176-10-70; (499) 127-12-70; (499) 127-33-95; (499) 123-63-91; (499) 127-11-12",,"39@prof.educom.ru","37,593738","55,683399","87028816"
"164","Гсударственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж профессиональных технологий"","109382, г. Москва, ул. Люблинская д. 56/2","Юго-Восточный административный округ","район Люблино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495)351-39-12",,"mkpt-spo@mail.ru","37,738222","55,67555","87028818"
"165","Гсударственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж профессиональных технологий"","109382, г. Москва, ул. Люблинская д. 56/2","Юго-Восточный административный округ","район Люблино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495)351-39-12",,"mkpt-spo@mail.ru","37,737671","55,67603","87028819"
"166","Гсударственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж профессиональных технологий"","109382, г. Москва, ул. Люблинская д. 56/2","Юго-Восточный административный округ","район Люблино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495)351-39-12",,"mkpt-spo@mail.ru","37,736974","55,676175","87028820"
"167","Гсударственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж профессиональных технологий"","109382, г. Москва, ул. Люблинская д. 56/2","Юго-Восточный административный округ","район Люблино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495)351-39-12",,"mkpt-spo@mail.ru","37,736389","55,676338","87028821"
"168","Гсударственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж профессиональных технологий"","109382, г. Москва, ул. Люблинская д. 56/2","Юго-Восточный административный округ","район Люблино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495)351-39-12",,"mkpt-spo@mail.ru","37,737051","55,676555","87028822"
"169","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 28","109383, г. Москва, ул. Полбина, д. 72","Юго-Восточный административный округ","район Печатники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 673-54-22","k28.mskcollege.ru","28@prof.educom.ru","37,720614","55,666968","87028823"
"170","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 28","109383, г. Москва, ул. Полбина, д. 72","Юго-Восточный административный округ","район Печатники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 673-54-22","k28.mskcollege.ru","28@prof.educom.ru","37,721168","55,668158","87028824"
"171","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 28","109383, г. Москва, ул. Полбина, д. 72","Юго-Восточный административный округ","район Печатники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 673-54-22","k28.mskcollege.ru","28@prof.educom.ru","37,752074","55,667074","87028825"
"172","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 28","109383, г. Москва, ул. Полбина, д. 72","Юго-Восточный административный округ","район Печатники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 673-54-22","k28.mskcollege.ru","28@prof.educom.ru","37,752982","55,666928","87028826"
"173","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 28","109383, г. Москва, ул. Полбина, д. 72","Юго-Восточный административный округ","район Печатники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 673-54-22","k28.mskcollege.ru","28@prof.educom.ru","37,715772","55,745058","87028827"
"174","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 28","109383, г. Москва, ул. Полбина, д. 72","Юго-Восточный административный округ","район Печатники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 673-54-22","k28.mskcollege.ru","28@prof.educom.ru","37,720869","55,667401","87028828"
"175","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж легкой промышленности № 5","127051, г. Москва, 3-ий Колобовский пер., д. 8, стр. 2","Центральный административный округ","Тверской район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","699-54-93",,"05@prof.educom.ru","37,659247","55,771575","87028981"
"176","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж легкой промышленности № 5","127051, г. Москва, 3-ий Колобовский пер., д. 8, стр. 2","Центральный административный округ","Тверской район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","699-54-93",,"05@prof.educom.ru","37,688142","55,777989","87028982"
"177","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж предпринимательства № 15","129281 г. Москва, Староватутинский проезд, д. 6","Северо-Восточный административный округ","Бабушкинский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 184-21-27; (499) 184-20-77",,"15@prof.educom.ru","37,671783","55,877426","87028983"
"178","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 19","111555, г. Москва, Напольный пр-д, д. 9","Восточный административный округ","район Ивановское","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 369-05-11; (499) 369-50-06; (499) 369-53-50","k19.mskcollege.ru/","19@prof.educom.ru","37,731552","55,783377","87028984"
"179","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 19","111555, г. Москва, Напольный пр-д, д. 9","Восточный административный округ","район Ивановское","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 369-05-11; (499) 369-50-06; (499) 369-53-50","k19.mskcollege.ru/","19@prof.educom.ru","37,733575","55,765728","87028985"
"180","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 19","111555, г. Москва, Напольный пр-д, д. 9","Восточный административный округ","район Ивановское","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 369-05-11; (499) 369-50-06; (499) 369-53-50","k19.mskcollege.ru/","19@prof.educom.ru","37,830434","55,758643","87028986"
"181","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технический пожарно-спасательный коллежд № 57","125080 г. Москва, Светлый проезд, д. 2а","Северный административный округ","район Сокол","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 123-33-42; (499) 123-05-29; (499) 123-12-36; (499) 123-11-34","k57.mskcollege.ru/","57@prof.educom.ru","37,490353","55,812175","87028990"
"182","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технический пожарно-спасательный коллежд № 57","125080 г. Москва, Светлый проезд, д. 2а","Северный административный округ","район Сокол","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 123-33-42; (499) 123-05-29; (499) 123-12-36; (499) 123-11-34","k57.mskcollege.ru/","57@prof.educom.ru","37,641226","55,676043","87028991"
"183","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технический пожарно-спасательный коллежд № 57","125080 г. Москва, Светлый проезд, д. 2а","Северный административный округ","район Сокол","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 123-33-42; (499) 123-05-29; (499) 123-12-36; (499) 123-11-34","k57.mskcollege.ru/","57@prof.educom.ru","37,608586","55,68017","87028992"
"184","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж градостроительства и предпринимательства"","129336, г. Москва, Анадырский проезд, д. 79, стр.1-2","Северо-Восточный административный округ","Лосиноостровский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 188-62-10",,"89@prof.educom.ru","37,713823","55,884425","87028993"
"185","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский государственный колледж книжного бизнеса и информационных технологий"","125130, г. Москва, ул. З. и А. Космодемьянских, д. 19","Северный административный округ","Войковский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","450-03-23",,"68@prof.educom.ru","37,515974","55,822721","87029102"
"186","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 2","119121 г. Москва, ул.Тимура Фрунзе, д. 28","Центральный административный округ","район Хамовники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 253-59-31",,"02@prof.educom.ru","37,692228","55,776564","87029103"
"187","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 2","119121 г. Москва, ул.Тимура Фрунзе, д. 28","Центральный административный округ","район Хамовники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 253-59-31",,"02@prof.educom.ru","37,566605","55,734391","87029104"
"188","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 2","119121 г. Москва, ул.Тимура Фрунзе, д. 28","Центральный административный округ","район Хамовники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 253-59-31",,"02@prof.educom.ru","37,567126","55,734456","87029105"
"189","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 2","119121 г. Москва, ул.Тимура Фрунзе, д. 28","Центральный административный округ","район Хамовники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 253-59-31",,"02@prof.educom.ru","37,572198","55,738068","87029106"
"190","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 2","119121 г. Москва, ул.Тимура Фрунзе, д. 28","Центральный административный округ","район Хамовники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 253-59-31",,"02@prof.educom.ru","37,58699","55,736314","87029107"
"191","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 44","119607, г. Москва, ул. Раменки, д. 4","Западный административный округ","район Раменки","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 141-00-94",,"44@prof.educom.ru","37,424933","55,687004","87029108"
"192","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 44","119607, г. Москва, ул. Раменки, д. 4","Западный административный округ","район Раменки","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 141-00-94",,"44@prof.educom.ru","37,494152","55,693759","87029109"
"193","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 44","119607, г. Москва, ул. Раменки, д. 4","Западный административный округ","район Раменки","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 141-00-94",,"44@prof.educom.ru","37,39438","55,738765","87029110"
"194","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 44","119607, г. Москва, ул. Раменки, д. 4","Западный административный округ","район Раменки","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 141-00-94",,"44@prof.educom.ru","37,481334","55,732724","87029111"
"195","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 44","119607, г. Москва, ул. Раменки, д. 4","Западный административный округ","район Раменки","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 141-00-94",,"44@prof.educom.ru","37,434525","55,731928","87029112"
"196","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 44","119607, г. Москва, ул. Раменки, д. 4","Западный административный округ","район Раменки","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 141-00-94",,"44@prof.educom.ru","37,410329","55,736589","87029113"
"197","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 44","119607, г. Москва, ул. Раменки, д. 4","Западный административный округ","район Раменки","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 141-00-94",,"44@prof.educom.ru","37,488165","55,737989","87029114"
"198","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Театрально-художественный колледж № 60","125315 г. Москва, пр. Амбулаторный 1-й, д. 8, стр. 2","Северный административный округ","район Аэропорт","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 152-37-60","k60.mskcollege.ru/","60@prof.educom.ru","37,580593","55,798628","87029115"
"199","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Театрально-художественный колледж № 60","125315 г. Москва, пр. Амбулаторный 1-й, д. 8, стр. 2","Северный административный округ","район Аэропорт","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 152-37-60","k60.mskcollege.ru/","60@prof.educom.ru","37,580841","55,798822","87029116"
"200","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Театрально-художественный колледж № 60","125315 г. Москва, пр. Амбулаторный 1-й, д. 8, стр. 2","Северный административный округ","район Аэропорт","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 152-37-60","k60.mskcollege.ru/","60@prof.educom.ru","37,672706","55,763234","87029117"
"201","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Театрально-художественный колледж № 60","125315 г. Москва, пр. Амбулаторный 1-й, д. 8, стр. 2","Северный административный округ","район Аэропорт","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 152-37-60","k60.mskcollege.ru/","60@prof.educom.ru","37,658592","55,738604","87029118"
"202","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский радиотехнический колледж имени А.А.Расплетина"","123022 г. Москва, ул. Большая Декабрьская, дом 5","Центральный административный округ","Пресненский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499)252-11-84 ,(499) 252-11-84",,"mrtc@mail.ru","37,558071","55,765492","87029119"
"203","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский радиотехнический колледж имени А.А.Расплетина"","123022 г. Москва, ул. Большая Декабрьская, дом 5","Центральный административный округ","Пресненский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499)252-11-84 ,(499) 252-11-84",,"mrtc@mail.ru","37,558052","55,765761","87029120"
"204","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Колледж предпринимательства №11","125438, г. Москва, ул. Онежская, дом 3","Северный административный округ","Головинский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 150-55-02",,"info@kp11.ru","37,498659","55,848436","87029121"
"205","Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Колледж предпринимательства №11","125438, г. Москва, ул. Онежская, дом 3","Северный административный округ","Головинский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 150-55-02",,"info@kp11.ru","37,496013","55,818247","87029122"
